"county_id","fips_code","state","name"
AK02,"02013",AK,Aleutians East Borough
AK01,"02013",AK,Aleutians East Borough
AK02,"02016",AK,Aleutians West Census Area
AK01,"02016",AK,Aleutians West Census Area
AK01,"02020",AK,Anchorage Municipality
AK02,"02020",AK,Anchorage Municipality
AK02,"02050",AK,Bethel Census Area
AK01,"02050",AK,Bethel Census Area
AK02,"02060",AK,Bristol Bay Borough
AK02,"02063",AK,Chugach
AK01,"02063",AK,Chugach
AK01,"02066",AK,Copper River
AK02,"02068",AK,Denali Borough
AK01,"02070",AK,Dillingham Census Area
AK02,"02070",AK,Dillingham Census Area
AK02,"02090",AK,Fairbanks North Star Borough
AK03,"02100",AK,Haines Borough
AK03,"02105",AK,Hoonah-Angoon Census Area
AK03,"02110",AK,Juneau City and Borough
AK02,"02122",AK,Kenai Peninsula Borough
AK01,"02122",AK,Kenai Peninsula Borough
AK03,"02130",AK,Ketchikan Gateway Borough
AK02,"02150",AK,Kodiak Island Borough
AK01,"02150",AK,Kodiak Island Borough
AK01,"02158",AK,Kusilvak Census Area
AK02,"02158",AK,Kusilvak Census Area
AK01,"02164",AK,Lake and Peninsula Borough
AK02,"02164",AK,Lake and Peninsula Borough
AK02,"02170",AK,Matanuska-Susitna Borough
AK02,"02180",AK,Nome Census Area
AK02,"02185",AK,North Slope Borough
AK02,"02188",AK,Northwest Arctic Borough
AK03,"02195",AK,Petersburg Census Area
AK03,"02198",AK,Prince of Wales-Hyder Census Area
AK03,"02220",AK,Sitka City and Borough
AK03,"02230",AK,Skagway Municipality
AK02,"02240",AK,Southeast Fairbanks Census Area
AK03,"02275",AK,Wrangell City and Borough
AK02,"02282",AK,Yakutat City and Borough
AK02,"02290",AK,Yukon-Koyukuk Census Area
AK01,"02290",AK,Yukon-Koyukuk Census Area
AL11,"01001",AL,Autauga
AL13,"01003",AL,Baldwin
AL13,"01005",AL,Barbour
AL03,"01007",AL,Bibb
AL03,"01009",AL,Blount
AL13,"01011",AL,Bullock
AL13,"01013",AL,Butler
AL01,"01015",AL,Calhoun
AL13,"01017",AL,Chambers
AL13,"01019",AL,Cherokee
AL03,"01021",AL,Chilton
AL13,"01023",AL,Choctaw
AL13,"01025",AL,Clarke
AL13,"01027",AL,Clay
AL13,"01029",AL,Cleburne
AL13,"01031",AL,Coffee
AL07,"01033",AL,Colbert
AL13,"01035",AL,Conecuh
AL13,"01037",AL,Coosa
AL13,"01039",AL,Covington
AL13,"01041",AL,Crenshaw
AL13,"01043",AL,Cullman
AL13,"01045",AL,Dale
AL13,"01047",AL,Dallas
AL13,"01049",AL,DeKalb
AL11,"01051",AL,Elmore
AL13,"01053",AL,Escambia
AL08,"01055",AL,Etowah
AL13,"01057",AL,Fayette
AL13,"01059",AL,Franklin
AL06,"01061",AL,Geneva
AL12,"01063",AL,Greene
AL12,"01065",AL,Hale
AL06,"01067",AL,Henry
AL06,"01069",AL,Houston
AL13,"01071",AL,Jackson
AL03,"01073",AL,Jefferson
AL13,"01075",AL,Lamar
AL07,"01077",AL,Lauderdale
AL05,"01079",AL,Lawrence
AL02,"01081",AL,Lee
AL09,"01083",AL,Limestone
AL11,"01085",AL,Lowndes
AL13,"01087",AL,Macon
AL09,"01089",AL,Madison
AL13,"01091",AL,Marengo
AL13,"01093",AL,Marion
AL13,"01095",AL,Marshall
AL10,"01097",AL,Mobile
AL13,"01099",AL,Monroe
AL11,"01101",AL,Montgomery
AL05,"01103",AL,Morgan
AL13,"01105",AL,Perry
AL13,"01107",AL,Pickens
AL13,"01109",AL,Pike
AL13,"01111",AL,Randolph
AL04,"01113",AL,Russell
AL03,"01117",AL,Shelby
AL03,"01115",AL,St. Clair
AL13,"01119",AL,Sumter
AL13,"01121",AL,Talladega
AL13,"01123",AL,Tallapoosa
AL12,"01125",AL,Tuscaloosa
AL03,"01127",AL,Walker
AL13,"01129",AL,Washington
AL13,"01131",AL,Wilcox
AL13,"01133",AL,Winston
AR05,"05001",AR,Arkansas
AR05,"05003",AR,Ashley
AR03,"05005",AR,Baxter
AR03,"05007",AR,Benton
AR03,"05009",AR,Boone
AR05,"05011",AR,Bradley
AR06,"05013",AR,Calhoun
AR03,"05015",AR,Carroll
AR05,"05017",AR,Chicot
AR04,"05019",AR,Clark
AR02,"05021",AR,Clay
AR01,"05023",AR,Cleburne
AR05,"05025",AR,Cleveland
AR06,"05027",AR,Columbia
AR01,"05029",AR,Conway
AR02,"05031",AR,Craighead
AR07,"05033",AR,Crawford
AR02,"05035",AR,Crittenden
AR02,"05037",AR,Cross
AR05,"05039",AR,Dallas
AR05,"05041",AR,Desha
AR05,"05043",AR,Drew
AR01,"05045",AR,Faulkner
AR07,"05047",AR,Franklin
AR02,"05049",AR,Fulton
AR04,"05051",AR,Garland
AR01,"05053",AR,Grant
AR02,"05055",AR,Greene
AR06,"05057",AR,Hempstead
AR04,"05059",AR,Hot Spring
AR06,"05061",AR,Howard
AR02,"05063",AR,Independence
AR02,"05065",AR,Izard
AR02,"05067",AR,Jackson
AR05,"05069",AR,Jefferson
AR07,"05071",AR,Johnson
AR06,"05073",AR,Lafayette
AR02,"05075",AR,Lawrence
AR05,"05077",AR,Lee
AR05,"05079",AR,Lincoln
AR06,"05081",AR,Little River
AR07,"05083",AR,Logan
AR01,"05085",AR,Lonoke
AR03,"05087",AR,Madison
AR03,"05089",AR,Marion
AR06,"05091",AR,Miller
AR02,"05093",AR,Mississippi
AR05,"05095",AR,Monroe
AR04,"05097",AR,Montgomery
AR06,"05099",AR,Nevada
AR03,"05101",AR,Newton
AR06,"05103",AR,Ouachita
AR01,"05105",AR,Perry
AR05,"05107",AR,Phillips
AR04,"05109",AR,Pike
AR02,"05111",AR,Poinsett
AR07,"05113",AR,Polk
AR01,"05115",AR,Pope
AR01,"05117",AR,Prairie
AR01,"05119",AR,Pulaski
AR02,"05121",AR,Randolph
AR01,"05125",AR,Saline
AR07,"05127",AR,Scott
AR03,"05129",AR,Searcy
AR07,"05131",AR,Sebastian
AR06,"05133",AR,Sevier
AR02,"05135",AR,Sharp
AR02,"05123",AR,St. Francis
AR02,"05137",AR,Stone
AR06,"05139",AR,Union
AR01,"05141",AR,Van Buren
AR03,"05143",AR,Washington
AR01,"05145",AR,White
AR02,"05147",AR,Woodruff
AR01,"05149",AR,Yell
AZ01,"04001",AZ,Apache
AZ07,"04003",AZ,Cochise
AZ01,"04005",AZ,Coconino
AZ05,"04007",AZ,Gila
AZ07,"04009",AZ,Graham
AZ07,"04011",AZ,Greenlee
AZ03,"04012",AZ,La Paz
AZ04,"04013",AZ,Maricopa
AZ01,"04015",AZ,Mohave
AZ01,"04017",AZ,Navajo
AZ06,"04019",AZ,Pima
AZ05,"04021",AZ,Pinal
AZ06,"04023",AZ,Santa Cruz
AZ02,"04025",AZ,Yavapai
AZ03,"04027",AZ,Yuma
CA06,"06001",CA,Alameda
CA01,"06003",CA,Alpine
CA01,"06005",CA,Amador
CA01,"06007",CA,Butte
CA01,"06009",CA,Calaveras
CA01,"06011",CA,Colusa
CA05,"06013",CA,Contra Costa
CA01,"06015",CA,Del Norte
CA03,"06017",CA,El Dorado
CA11,"06019",CA,Fresno
CA01,"06021",CA,Glenn
CA01,"06023",CA,Humboldt
CA13,"06025",CA,Imperial
CA13,"06027",CA,Inyo
CA14,"06029",CA,Kern
CA11,"06031",CA,Kings
CA01,"06033",CA,Lake
CA01,"06035",CA,Lassen
CA15,"06037",CA,Los Angeles
CA16,"06037",CA,Los Angeles
CA11,"06039",CA,Madera
CA02,"06041",CA,Marin
CA10,"06043",CA,Mariposa
CA01,"06045",CA,Mendocino
CA10,"06047",CA,Merced
CA01,"06049",CA,Modoc
CA13,"06051",CA,Mono
CA09,"06053",CA,Monterey
CA02,"06055",CA,Napa
CA01,"06057",CA,Nevada
CA18,"06059",CA,Orange
CA03,"06061",CA,Placer
CA01,"06063",CA,Plumas
CA17,"06065",CA,Riverside
CA03,"06067",CA,Sacramento
CA09,"06069",CA,San Benito
CA17,"06071",CA,San Bernardino
CA19,"06073",CA,San Diego
CA04,"06075",CA,San Francisco
CA10,"06077",CA,San Joaquin
CA12,"06079",CA,San Luis Obispo
CA08,"06081",CA,San Mateo
CA12,"06083",CA,Santa Barbara
CA07,"06085",CA,Santa Clara
CA09,"06087",CA,Santa Cruz
CA01,"06089",CA,Shasta
CA01,"06091",CA,Sierra
CA01,"06093",CA,Siskiyou
CA02,"06095",CA,Solano
CA02,"06097",CA,Sonoma
CA10,"06099",CA,Stanislaus
CA01,"06101",CA,Sutter
CA01,"06103",CA,Tehama
CA01,"06105",CA,Trinity
CA10,"06107",CA,Tulare
CA01,"06109",CA,Tuolumne
CA12,"06111",CA,Ventura
CA03,"06113",CA,Yolo
